Word,PartOfSpeech,Meaning,Level
deliver,動詞,〜を配達する・（演説などを）する,5
demand,名詞/動詞,需要・要求（〜を要求する）,5
deny,動詞,〜を否定する,5
depend,動詞,〜に依存する・〜次第である,5
describe,動詞,〜を描写する・説明する,5
design,動詞/名詞,〜を設計する（設計・図案）,5
destroy,動詞,〜を破壊する,5
determine,動詞,〜を決定する・決心する,5
device,名詞,装置・工夫,5
discover,動詞,〜を発見する,5
discuss,動詞,〜について話し合う,5
distance,名詞,距離,5
divide,動詞,〜を分ける,5
earn,動詞,〜を稼ぐ・（名声などを）得る,5
economic,形容詞,経済の,5
educate,動詞,〜を教育する,5
effort,名詞,努力,5
efficient,形容詞,効率的な,5
emotion,名詞,感情,5
employ,動詞,〜を雇う・〜を用いる,5
encourage,動詞,〜を励ます・〜を促進する,5
energy,名詞,エネルギー・活力,5
enjoy,動詞,〜を楽しむ,5
entire,形容詞,全体の,5
environment,名詞,環境,5
error,名詞,誤り,5
essential,形容詞,不可欠な・極めて重要な,5
evidence,名詞,証拠,5
examine,動詞,〜を調査する・〜を診察する,5
exchange,動詞/名詞,〜を交換する（交換）,5
exist,動詞,存在する,5
expect,動詞,〜を予期する・期待する,5
experience,名詞/動詞,経験（〜を経験する）,5
external,形容詞,外部の,5
facility,名詞,施設・設備・器用さ,5
factor,名詞,要因・要素,5
fail,動詞,失敗する・（試験に）落ちる,5
familiar,形容詞,よく知られた・親しい,5
fear,名詞/動詞,恐怖（〜を恐れる）,5
feature,名詞/動詞,特徴（〜を特徴にする）,5
feed,動詞,〜に食べ物を与える,5
fill,動詞,〜を満たす,5
finish,動詞,〜を終える,5
fit,動詞/形容詞,〜に合う（適した）,5
follow,動詞,〜に続く・〜に従う,5
force,動詞/名詞,〜を強いる（力）,5
forget,動詞,〜を忘れる,5
function,名詞/動詞,機能（機能する）,5
fundamental,形容詞,根本的な,5
gain,動詞/名詞,〜を得る（利益）,5
gather,動詞,〜を集める・集まる,5
global,形容詞,地球全体の・世界的な,5
goal,名詞,目標,5
government,名詞,政府,5
graduate,動詞/名詞,卒業する（卒業生）,5
guess,動詞/名詞,〜を推測する（推測）,5
habit,名詞,習慣,5
handle,動詞/名詞,〜を扱う（取っ手）,5
happen,動詞,（事が）起こる,5
hate,動詞,〜を嫌う,5
hide,動詞,〜を隠す・隠れる,5
hope,動詞/名詞,〜を望む（希望）,5
hurt,動詞,〜を傷つける・痛む,5
identify,動詞,〜を特定する・確認する,5
ignore,動詞,〜を無視する,5
imagine,動詞,〜を想像する,5
impact,名詞/動詞,影響・衝撃（〜に影響を与える）,5
import,動詞/名詞,〜を輸入する（輸入）,5
impress,動詞,〜を感動させる,5
improve,動詞,〜を向上させる・改善する,5
increase,動詞/名詞,増加する・〜を増やす（増加）,5
indicate,動詞,〜を指し示す・示す,5
individual,名詞/形容詞,個人（の）・個々の,5
inform,動詞,〜に知らせる,5
insist,動詞,主張する・言い張る,5
instance,名詞,例・実例,5
institution,名詞,機関・制度,5
intend,動詞,〜するつもりである,5
interest,名詞/動詞,興味・利害（〜に興味を持たせる）,5
internal,形容詞,内部の,5
introduce,動詞,〜を紹介する・〜を導入する,5
invent,動詞,〜を発明する,5
invite,動詞,〜を招待する,5
involve,動詞,〜を巻き込む・含む,5
issue,名詞/動詞,問題（点）・発行（〜を発行する）,5
item,名詞,項目・品目,5
join,動詞,〜に加わる・〜をつなぐ,5
judge,動詞/名詞,〜を判断する（裁判官）,5
keep,動詞,〜を持ち続ける・〜をある状態に保つ,5
kill,動詞,〜を殺す,5
knock,動詞,ノックする・〜をぶつける,5
knowledge,名詞,知識,5
laugh,動詞,笑う,5
lead,動詞/名詞,〜を導く（先導）,5
learn,動詞,〜を学ぶ・〜を知る,5
leave,動詞,〜を去る・〜を置き忘れる・〜をそのままにする,5
lend,動詞,〜を貸す,5
likely,形容詞/副詞,〜しそうな・おそらく,5
listen,動詞,（意識して）聞く,5
live,動詞,住む・生きる,5
look,動詞,見る・〜のように見える,5
lose,動詞,〜を失う・（試合などに）負ける,5
love,動詞/名詞,〜を愛する（愛）,5
maintain,動詞,〜を維持する・主張する,5
major,形容詞/動詞,主要な・専攻する,5
manage,動詞,〜を何とかやり遂げる・〜を管理する,5
marry,動詞,〜と結婚する,5
matter,動詞/名詞,重要である（問題・事柄）,5
mean,動詞/形容詞,〜を意味する（意地悪な）,5
measure,動詞/名詞,〜を測る（対策・手段）,5
mental,形容詞,精神の,5
mention,動詞,〜に言及する,5
method,名詞,方法,5
miss,動詞,〜を逃す・〜がいなくて寂しく思う,5
move,動詞/名詞,動く・〜を動かす・引っ越す（動き）,5
nature,名詞,自然・性質,5
negative,形容詞,否定的な・消極的な,5
notice,動詞/名詞,〜に気づく（通知・掲示）,5
object,名詞/動詞,物体・目的（〜に反対する）,5
observe,動詞,〜に気づく・〜を観察する・（規則などを）守る,5
obtain,動詞,〜を得る,5
offer,動詞/名詞,〜を申し出る・提供する（申し出）,5
opportunity,名詞,機会・チャンス,5
order,名詞/動詞,順序・秩序・命令（〜を注文する・命令する）,5
own,動詞/形容詞,〜を所有している（自分自身の）,5
particular,形容詞,特定の・特別な,5
pass,動詞,〜を通り過ぎる・（試験に）合格する・〜を渡す,5
pay,動詞/名詞,〜を支払う（給料）,5
perform,動詞,〜を遂行する・演じる,5
period,名詞,期間・時代,5
physical,形容詞,身体の・物理的な,5
pick,動詞,〜を選ぶ・〜を摘む,5
plan,動詞/名詞,〜を計画する（計画）,5
plant,名詞/動詞,植物・工場（〜を植える）,5
play,動詞,遊ぶ・（楽器を）演奏する・（スポーツを）する,5
policy,名詞,政策・方針,5
positive,形容詞,肯定的な・積極的な,5
potential,形容詞/名詞,潜在的な（可能性）,5
practical,形容詞,実用的な,5
prepare,動詞,〜を準備する,5
prevent,動詞,〜を妨げる・防ぐ,5
previous,形容詞,前の・以前の,5
process,名詞/動詞,過程・プロセス（〜を処理する）,5
produce,動詞,〜を生産する・引き起こす,5
promise,動詞/名詞,〜を約束する（約束）,5
protect,動詞,〜を保護する,5
prove,動詞,〜を証明する・〜だとわかる,5
provide,動詞,〜を提供する・供給する,5
public,形容詞/名詞,公の・公共の（大衆）,5
publish,動詞,〜を出版する・〜を発表する,5
pull,動詞,〜を引く,5
push,動詞,〜を押す,5
quality,名詞,質,5
raise,動詞,〜を上げる・（子供を）育てる,5
range,名詞/動詞,範囲（〜に及ぶ）,5
reach,動詞,〜に到着する・〜に手が届く,5
read,動詞,〜を読む,5
realize,動詞,〜を悟る・実現する,5
reason,名詞/動詞,理由・理性（〜を論じる）,5
receive,動詞,〜を受け取る,5
recognize,動詞,〜を認める・識別する,5
record,名詞/動詞,記録（〜を記録する）,5
reduce,動詞,〜を減らす・削減する,5
refer,動詞,〜に言及する・〜を参照する,5
reflect,動詞,〜を反映する・反射する・熟考する,5
refuse,動詞,〜を拒む,5
regard,動詞/名詞,〜を（…と）みなす（配慮）,5
relationship,名詞,関係,5
relative,形容詞/名詞,相対的な（親戚）,5
relax,動詞,くつろぐ・〜を緩める,5
relevant,形容詞,関連のある,5
remain,動詞,〜のままでいる・残る,5
remember,動詞,〜を覚えている・〜を思い出す,5
remind,動詞,〜に思いださせる,5
repair,動詞/名詞,〜を修理する（修理）,5
repeat,動詞,〜を繰り返す,5
replace,動詞,〜に取って代わる・〜を取り替える,5
report,動詞/名詞,〜を報告する（報告書）,5
represent,動詞,〜を表す・代表する,5
request,名詞/動詞,要請（〜を要請する）,5
require,動詞,〜を必要とする・要求する,5
research,名詞/動詞,研究・調査（〜を研究する）,5
resource,名詞,資源・財源,5
respect,動詞/名詞,〜を尊敬する（尊敬・点）,5
respond,動詞,反応する・答える,5
responsible,形容詞,責任がある,5
result,名詞/動詞,結果（〜という結果になる）,5
return,動詞/名詞,戻る・〜を返す（戻ること）,5
reveal,動詞,〜を明らかにする・示す,5
ride,動詞,（乗り物に）乗る,5
rise,動詞/名詞,上がる・昇る（上昇）,5
role,名詞,役割,5
rule,名詞/動詞,規則（〜を支配する）,5
save,動詞,〜を救う・〜を蓄える・〜を省く,5
search,動詞/名詞,〜を捜す（捜索）,5
seek,動詞,〜を追い求める,5
sell,動詞,〜を売る,5
send,動詞,〜を送る,5
separate,形容詞/動詞,離れた（〜を分ける）,5
serve,動詞,（食事などを）出す・〜に役立つ,5
set,動詞/名詞,〜を置く・〜を設定する（一式）,5
shake,動詞,〜を振る・揺れる,5
share,動詞/名詞,〜を共有する（分担・割り当て）,5
shout,動詞,叫ぶ,5
show,動詞/名詞,〜を見せる・示す（ショー）,5
shut,動詞,〜を閉める,5
significant,形容詞,重要な・かなりの,5
sing,動詞,歌う,5
sit,動詞,座る,5
sleep,動詞/名詞,眠る（睡眠）,5
smile,動詞/名詞,微笑む（微笑み）,5
social,形容詞,社会的な,5
society,名詞,社会,5
solve,動詞,〜を解決する,5
source,名詞,源・情報源,5
speak,動詞,話す,5
specific,形容詞,特定の・明確な,5
spend,動詞,（お金・時間を）費やす,5
spread,動詞/名詞,広がる・〜を広げる（広がり）,5
stable,形容詞,安定した,5
standard,形容詞/名詞,標準的な（基準）,5
stand,動詞,立つ・〜を我慢する,5
start,動詞/名詞,始まる・〜を始める（開始）,5
stay,動詞/名詞,滞在する・〜のままでいる（滞在）,5
stop,動詞/名詞,止まる・〜を止める（停留所）,5
strike,動詞/名詞,〜を打つ・（考えなどが）〜に浮かぶ（ストライキ）,5
structure,名詞,構造,5
suffer,動詞,〜を経験する・（苦痛などを）受ける,5
suggest,動詞,〜を提案する・暗示する,5
support,動詞/名詞,〜を支持する・支える（支持）,5
suppose,動詞,〜と思う・仮定する,5
technology,名詞,科学技術・テクノロジー,5
tend,動詞,〜する傾向がある,5
theory,名詞,理論・学説,5
threat,名詞,脅威,5
treat,動詞,〜を扱う・治療する,5
value,名詞/動詞,価値（〜を重んじる）,5
various,形容詞,さまざまな,5
variety,名詞,多様性・種類,5
view,名詞/動詞,見方・意見（〜を見る）,5
waste,名詞/動詞,無駄・廃棄物（〜を無駄にする）,5
