Word,IPA,PartOfSpeech,Meaning,Level
cooperate, [kouάpərèit], 動詞, 協力する, 4
cope, [kóup], 動詞, （うまく）対処する, 4
core, [kɔ́ːr], 名詞/形容詞, 核心（の）, 4
corporate, [kɔ́ːrpərət], 形容詞, 企業の・法人の, 4
critic, [krítik], 名詞, 批評家, 4
criticize, [krítisàiz], 動詞, 〜を批判する, 4
curious, [kjúəriəs], 形容詞, 好奇心の強い, 4
decade, [dekéid], 名詞, 10年間, 4
decline, [dikláin], 動詞/名詞, 衰退する・〜を断る（減少）, 4
definition, [dèfəníʃən], 名詞, 定義, 4
delighted, [diláitid], 形容詞, 喜んでいる, 4
democracy, [dimάkrəsi], 名詞, 民主主義, 4
demonstrate, [démənstrèit], 動詞, 〜を論証する・デモをする, 4
departure, [dipάːrtʃər], 名詞, 出発, 4
deposit, [dipάzit], 名詞/動詞, 預金・頭金（〜を預ける）, 4
deserve, [dizə́ːrv], 動詞, 〜に値する, 4
desperate, [déspərət], 形容詞, 絶望的な・必死の, 4
destination, [dèstənéiʃən], 名詞, 目的地, 4
detect, [ditékt], 動詞, 〜を感知する・見つけ出す, 4
discipline, [dísəplin], 名詞/動詞, 規律・訓練（〜を訓練する）, 4
display, [displéi], 動詞/名詞, 〜を展示する（展示）, 4
distinguish, [distíŋɡwiʃ], 動詞, 〜を区別する, 4
distribute, [distríbjuːt], 動詞, 〜を分配する・配布する, 4
domestic, [dəméstik], 形容詞, 国内の・家庭の, 4
dominate, [dάmənéit], 動詞, 〜を支配する, 4
draft, [drǽft], 名詞/動詞, 下書き（〜を起草する）, 4
dramatic, [drəmǽtik], 形容詞, 劇的な, 4
dreadful, [drédfəl], 形容詞, 恐ろしい・ひどい, 4
dull, [dʌ́l], 形容詞, 退屈な・鈍い, 4
eager, [íːɡər], 形容詞, 熱心な・〜したがっている, 4
echo, [ékou], 名詞/動詞, 反響（こだまする）, 4
editor, [éditər], 名詞, 編集者, 4
efficiency, [ifíʃənsi], 名詞, 効率, 4
eliminate, [ilímənèit], 動詞, 〜を取り除く, 4
embarrass, [imbǽrəs], 動詞, 〜を困惑させる, 4
emerge, [imə́ːrdʒ], 動詞, 現れる, 4
emphasis, [émfəsis], 名詞, 強調, 4
encounter, [inkáuntər], 動詞/名詞, 〜に遭遇する（出会い）, 4
enormous, [inɔ́ːrməs], 形容詞, 巨大な・莫大な, 4
ensure, [enʃúər], 動詞, 〜を確実にする, 4
enthusiasm, [enθúːziæ̀zm], 名詞, 熱狂・情熱, 4
equality, [ikwάləti], 名詞, 平等, 4
equivalent, [ikwívələnt], 形容詞/名詞, 同等の（もの）, 4
establish, [istǽbliʃ], 動詞, 〜を設立する・確立する, 4
estimate,[éstəmət],名詞,見積もり,4
estimate,[éstəmèit],動詞,〜を見積もる,4
evaluate, [ivǽljuèit], 動詞, 〜を評価する, 4
eventually, [ivéntʃuəli], 副詞, 結局は・ついに, 4
exaggerate, [iɡzǽdʒərèit], 動詞, 〜を誇張する, 4
exceptional, [iksépʃənl], 形容詞, 例外的な・非常に優れた, 4
excessive, [iksésiv], 形容詞, 過度の, 4
exclude, [iksklúːd], 動詞, 〜を除外する, 4
expand, [ikspǽnd], 動詞, 〜を拡大する・広がる, 4
explore, [iksplɔ́ːr], 動詞, 〜を探索する・調査する, 4
exposure, [ikspóuʒər], 名詞, さらすこと・暴露, 4
extension, [iksténʃən], 名詞, 延長・拡張, 4
extraordinary, [ikstrɔ́ːrdənèri], 形容詞, 並外れた・異常な, 4
faith, [féiθ], 名詞, 信頼・信仰, 4
fatal, [féitl], 形容詞, 致命的な, 4
flexible, [fléksəbl], 形容詞, 柔軟な・曲げやすい, 4
fluctuate, [flʌ́ktʃuèit], 動詞, 変動する, 4
forecast, [fɔ́ːrkæ̀st], 名詞/動詞, 予測・予報（〜を予測する）, 4
fortune, [fɔ́ːrtʃən], 名詞, 運・財産, 4
frustrate, [frʌ́strèit], 動詞, 〜を挫折させる・いらだたせる, 4
genuine, [dʒénjuin], 形容詞, 本物の・心からの, 4
gesture, [dʒéstʃər], 名詞, 身振り・ジェスチャー, 4
glance, [glǽns], 動詞/名詞, ちらりと見る（一瞥）, 4
guarantee, [ɡæ̀rəntíː], 動詞/名詞, 〜を保証する（保証）, 4
hesitate, [hézətèit], 動詞, ためらう, 4
highlight, [háilàit], 動詞/名詞, 〜を強調する（見どころ）, 4
horizon, [həráizn], 名詞, 地平線・水平線・視野, 4
hostile, [hάstl], 形容詞, 敵意のある, 4
household, [háushòuld], 名詞/形容詞, 世帯・一家（家庭の）, 4
hypothesis, [haipάθəsis], 名詞, 仮説, 4
ideal, [aidíːəl], 形容詞/名詞, 理想的な（理想）, 4
ignorant, [ígnərənt], 形容詞, 無知な, 4
illustrate, [íləstrèit], 動詞, 〜を説明する・例証する, 4
immigration, [ìmigréiʃən], 名詞, （他国からの）移住, 4
implement, [ímpləmènt], 動詞/名詞, 〜を実行する（道具）, 4
imply, [implái], 動詞, 〜を暗に意味する・ほのめかす, 4
impose, [impóuz], 動詞, 〜を課す・押しつける, 4
incentive, [inséntiv], 名詞, 動機・励み, 4
incident, [ínsidənt], 名詞, 出来事・事件, 4
inevitable, [inévitəbl], 形容詞, 避けられない, 4
infer, [infə́ːr], 動詞, 〜を推論する, 4
influence, [ínfluəns], 名詞/動詞, 影響（〜に影響を与える）, 4
ingredient, [ingríːdiənt], 名詞, 材料・成分, 4
initial, [iníʃəl], 形容詞, 初めの, 4
initiative, [iníʃətiv], 名詞, 主導権・自発性, 4
innocent, [ínəsnt], 形容詞, 無実の・無邪気な, 4
insight, [ínsàit], 名詞, 洞察力・見識, 4
inspect, [inspékt], 動詞, 〜を検査する, 4
inspire, [inspáiər], 動詞, 〜を奮い立たせる・（感情などを）起こさせる, 4
install, [instɔ́ːl], 動詞, 〜を設置する・導入する, 4
instinct, [ínstiŋkt], 名詞, 本能, 4
instruct, [instrʌ́kt], 動詞, 〜に指示する・教える, 4
instrument, [ínstrəmənt], 名詞, 器具・楽器, 4
insurance, [inʃúərəns], 名詞, 保険, 4
intellectual, [ìntəléktʃuəl], 形容詞, 知的な, 4
interpret, [intə́ːrprit], 動詞, 〜を解釈する・通訳する, 4
interrupt, [ìntərʌ́pt], 動詞, 〜を中断させる・邪魔をする, 4
invest, [invést], 動詞, 投資する, 4
investigate, [invéstəɡèit], 動詞, 〜を調査する, 4
isolated, [áisəlèitid], 形容詞, 孤立した, 4
joint, [dʒɔ́int], 形容詞/名詞, 共同の（関節）, 4
justice, [dʒʌ́stis], 名詞, 正義・司法, 4
justify, [dʒʌ́stəfài], 動詞, 〜を正当化する, 4
label, [léibl], 名詞/動詞, ラベル（〜にラベルを貼る）, 4
landscape, [lǽndskèip], 名詞, 風景・景色, 4
layer, [léiər], 名詞, 層, 4
lecture, [léktʃər], 名詞/動詞, 講義（講義する）, 4
legislation, [lèdʒisléiʃən], 名詞, 法律・立法, 4
liberal, [líbərəl], 形容詞, 自由主義の・寛大な, 4
liberty, [líbərti], 名詞, 自由, 4
license, [láisəns], 名詞/動詞, 免許（〜を認可する）, 4
limit, [límit], 名詞/動詞, 制限（〜を制限する）, 4
literally, [lítərəli], 副詞, 文字通りに, 4
logical, [lάdʒikəl], 形容詞, 論理的な, 4
loyal, [lɔ́iəl], 形容詞, 忠実な, 4
lump, [lʌ́mp], 名詞, 塊, 4
magnificent, [mægnífisənt], 形容詞, 壮大な・見事な, 4
margin, [mάːrdʒin], 名詞, 余白・差, 4
mature, [mətjúər], 形容詞/動詞, 成熟した（成熟する）, 4
maximum, [mǽksəməm], 名詞/形容詞, 最大限（の）, 4
mechanism, [mékənìzm], 名詞, 仕組み・メカニズム, 4
media, [míːdiə], 名詞, 媒体・メディア, 4
medium, [míːdiəm], 名詞/形容詞, 媒体・中間（中間の）, 4
membership, [mémbərʃìp], 名詞, 会員権・会員数, 4
minor, [máinər], 形容詞, 小さい方の・重要でない, 4
minority, [mainɔ́ːrəti], 名詞, 少数派, 4
mission, [míʃən], 名詞, 使命・任務, 4
moderate, [mάdərət], 形容詞, 適度な・控えめな, 4
modify, [mάdəfài], 動詞, 〜を修正する・変更する, 4
monitor, [mάnətər], 名詞/動詞, モニター（〜を監視する）, 4
moral, [mɔ́ːrəl], 形容詞/名詞, 道徳的な（道徳）, 4
multiple, [mʌ́ltəpl], 形容詞, 多様な・複数の, 4
mutual, [mjúːtʃuəl], 形容詞, 相互の, 4
mysterious, [mistíəriəs], 形容詞, 不思議な・神秘的な, 4
narrative, [nǽrətiv], 名詞/形容詞, 物語（の）, 4
negotiate, [nigóuʃièit], 動詞, 交渉する, 4
neutral, [njúːtrəl], 形容詞, 中立の, 4
nevertheless, [nèvərðəlés], 副詞, それにもかかわらず, 4
norm, [nɔ́ːrm], 名詞, 規範・標準, 4
notion, [nóuʃən], 名詞, 概念・考え, 4
numerous, [njúːmərəs], 形容詞, 多数の, 4
objective, [əbdʒéktiv], 名詞/形容詞, 目標（客観的な）, 4
obligation, [ὰbləɡéiʃən], 名詞, 義務, 4
obvious, [άbviəs], 形容詞, 明らかな, 4
occasion, [əkéiʒən], 名詞, 場合・機会・行事, 4
occupation, [ὰkjupéiʃən], 名詞, 職業・占領, 4
occupy, [άkjupài], 動詞, 〜を占める・占領する, 4
occur, [əkə́ːr], 動詞, 起こる・（考えが）浮かぶ, 4
offense, [əféns], 名詞, 違反・攻撃・気分を害すること, 4
official, [əfíʃəl], 形容詞/名詞, 公式の（公務員）, 4
opponent, [əpóunənt], 名詞, 相手・反対者, 4
opposition, [ὰpəzíʃən], 名詞, 反対・抵抗, 4
option, [άpʃən], 名詞, 選択肢, 4
ordinary, [ɔ́ːrdənèri], 形容詞, 普通の・ありふれた, 4
organize, [ɔ́ːrgənàiz], 動詞, 〜を組織する・準備する, 4
origin, [ɔ́ːridʒin], 名詞, 起源・生まれ, 4
outcome, [áutkʌ̀m], 名詞, 結果・成果, 4
output, [áutpùt], 名詞, 出力・生産高, 4
overall, [òuvərɔ́ːl], 形容詞/副詞, 全体的な（全体として）, 4
overlook, [òuvərlúk], 動詞, 〜を見落とす・〜を見渡す, 4
parallel, [pǽrəlèl], 形容詞/名詞, 平行な・類似した（類似点）, 4
participate, [pɑːrtísəpèit], 動詞, 参加する, 4
passenger, [pǽsəndʒər], 名詞, 乗客, 4
passive, [pǽsiv], 形容詞, 受動的な・消極的な, 4
patience, [péiʃəns], 名詞, 忍耐, 4
pattern, [pǽtərn], 名詞, 模様・型・パターン, 4
pause, [pɔ́ːz], 動詞/名詞, 休止する（休止）, 4
perceive, [pərsíːv], 動詞, 〜を認識する・知覚する, 4
permanent, [pə́ːrmənənt], 形容詞, 永久的な, 4
perspective, [pərspéktiv], 名詞, 観点・見方・遠近法, 4
persuade, [pərswéid], 動詞, 〜を説得する, 4
phenomenon, [finάmənὰn], 名詞, 現象, 4
philosophy, [filάsəfi], 名詞, 哲学・原理, 4
portion, [pɔ́ːrʃən], 名詞, 部分・分け前, 4
poverty, [pάvərti], 名詞, 貧困, 4
precise, [prisáis], 形容詞, 正確な・緻密な, 4
predict, [pridíkt], 動詞, 〜を予測する, 4
preference, [préfərəns], 名詞, 好み・優先, 4
prejudice, [prédʒudis], 名詞, 偏見, 4
preserve, [prizə́ːrv], 動詞, 〜を保存する・保護する, 4
prestige, [prestíːʒ], 名詞, 名声・威信, 4
presumably, [prizúːməbli], 副詞, おそらく・たぶん, 4
primitive, [prímətiv], 形容詞, 原始的な, 4
priority, [praiɔ́ːrəti], 名詞, 優先事項, 4
privacy, [práivəsi], 名詞, プライバシー, 4
privilege, [prívəlidʒ], 名詞, 特権, 4
probability, [prὰbəbíləti], 名詞, 確率・可能性, 4
procedure, [prəsíːdʒər], 名詞, 手順・処置, 4
profound, [prəfáund], 形容詞, 深い・重大な, 4
prohibit, [prouhíbit], 動詞, 〜を禁止する, 4
prominent, [prάmənənt], 形容詞, 卓越した・目立つ, 4
promote, [prəmóut], 動詞, 〜を促進する・昇進させる, 4
proportion, [prəpɔ́ːrʃən], 名詞, 割合・比率, 4
prospect, [prάspekt], 名詞, 見通し・可能性, 4
prosperity, [praspérəti], 名詞, 繁栄, 4
psychology, [saikάlədʒi], 名詞, 心理学, 4
purchase, [pə́ːrtʃəs], 動詞/名詞, 〜を購入する（購入）, 4
pursue, [pərsúː], 動詞, 〜を追求する, 4
radical, [rǽdikəl], 形容詞, 根本的な・過激な, 4
rare, [rέər], 形容詞, 珍しい, 4
reaction, [riǽkʃən], 名詞, 反応, 4
recall, [rikɔ́ːl], 動詞, 〜を思い出す・呼び戻す, 4
recommend, [rèkəménd], 動詞, 〜を推薦する, 4
recovery, [rikʌ́vəri], 名詞, 回復, 4
reform, [rifɔ́ːrm], 動詞/名詞, 〜を改革する（改革）, 4
refuge, [réfjuːdʒ], 名詞, 避難（所）, 4
register, [rédʒistər], 動詞/名詞, 〜を登録する（登録）, 4
regulate, [régjulèit], 動詞, 〜を規制する・調整する, 4
reinforce, [rìːinfɔ́ːrs], 動詞, 〜を強化する, 4
reject, [ridʒékt], 動詞, 〜を拒絶する, 4
remarkable, [rimάːrkəbl], 形容詞, 注目すべき・すばらしい, 4
remedy, [rémədi], 名詞, 治療（法）・救済策, 4
remote, [rimóut], 形容詞, 遠く離れた, 4
reproduce, [rìːprədʒúːs], 動詞, 〜を再生する・繁殖する, 4
reputation, [rèpjutéiʃən], 名詞, 評判・名声, 4
resemble, [rizémbl], 動詞, 〜に似ている, 4
reserve, [rizə́ːrv], 動詞/名詞, 〜を予約する・取っておく（蓄え）, 4
resident, [rézidənt], 名詞, 居住者, 4
resign, [rizáin], 動詞, 辞職する, 4
resistance, [rizístəns], 名詞, 抵抗, 4
resolve, [rizάlv], 動詞, 〜を解決する・決心する, 4
restriction, [ristríkʃən], 名詞, 制限, 4
retain, [ritéin], 動詞, 〜を保持する, 4
retire, [ritáiər], 動詞, 引退する, 4
reverse, [rivə́ːrs], 動詞/形容詞, 〜を逆にする（逆の）, 4
revise, [riváiz], 動詞, 〜を改訂する・修正する, 4
revival, [riváivəl], 名詞, 復活, 4
reward, [riwɔ́ːrd], 名詞/動詞, 報酬（〜に報いる）, 4
rival, [ráivəl], 名詞/動詞, ライバル（〜と競う）, 4
rough, [rʌ́f], 形容詞, 荒い・大ざっぱな, 4
rural, [rúərəl], 形容詞, 田舎の, 4
scarcely, [skέərsli], 副詞, ほとんど〜ない, 4
scheme, [skíːm], 名詞, 計画・体系, 4
security, [sikjúərəti], 名詞, 安全・警備, 4
segment, [ségmənt], 名詞, 部分・区分, 4
seize, [síːz], 動詞, 〜をつかむ・差し押さえる, 4
seldom, [séldəm], 副詞, めったに〜ない, 4
sensitive, [sénsətiv], 形容詞, 敏感な・繊細な, 4
sequence, [síːkwəns], 名詞, 連続・順序, 4
severe, [sivíər], 形容詞, 厳しい・深刻な, 4
shift, [ʃíft], 動詞/名詞, 〜を移す（変化・交替）, 4
shortage, [ʃɔ́ːrtidʒ], 名詞, 不足, 4
signal, [sígnəl], 名詞/動詞, 信号（〜に合図する）, 4
similarity, [sìməlǽrəti], 名詞, 似ていること, 4
simultaneous, [sàimultéiniəs], 形容詞, 同時の, 4
sincere, [sinsíər], 形容詞, 誠実な・心からの, 4
solution, [səlúːʃən], 名詞, 解決策・溶液, 4
sophisticated, [səfístikèitid], 形容詞, 洗練された・精巧な, 4
species, [spíːʃiːz], 名詞, （生物の）種, 4
stimulate, [stímjulèit], 動詞, 〜を刺激する, 4
strategy, [strǽtədʒi], 名詞, 戦略, 4
strict, [stríkt], 形容詞, 厳しい・厳格な, 4
subtle, [sʌ́tl], 形容詞, 微妙な・繊細な, 4
sufficient, [səfíʃənt], 形容詞, 十分な, 4
survey, [sə́ːrvèi], 名詞/動詞, 調査（〜を調査する）, 4
sustain, [səstéin], 動詞, 〜を維持する・支える, 4
temporary, [témpərèri], 形容詞, 一時的な, 4
territory, [térətɔ̀ːri], 名詞, 領土・縄張り, 4
trace, [tréis], 動詞/名詞, 〜をたどる（跡）, 4
tradition, [trədíʃən], 名詞, 伝統, 4
tragedy, [trǽdʒədi], 名詞, 悲劇, 4
transform, [trænsfɔ́ːrm], 動詞, 〜を変える, 4
transition, [trænzíʃən], 名詞, 移り変わり・過渡期, 4
transport,[trǽnspɔːrt],名詞,輸送,4
transport,[trænspɔ́ːrt],動詞,〜を輸送する,4
ultimate, [ʌ́ltəmət], 形容詞, 究極の・最終的な, 4
undergo, [ʌ̀ndərɡóu], 動詞, 〜を経験する・（検査などを）受ける, 4
undertake, [ʌ̀ndərtéik], 動詞, 〜を引き受ける・着手する, 4
unique, [juːníːk], 形容詞, 独特な・唯一の, 4
universal, [jùːnəvə́ːrsəl], 形容詞, 普遍的な・全世界の, 4
urban, [ə́ːrbən], 形容詞, 都会の, 4
urge, [ə́ːrdʒ], 動詞/名詞, 〜を強く促す（衝動）, 4
urgent, [ə́ːrdʒənt], 形容詞, 緊急の, 4
utilize, [júːtəlàiz], 動詞, 〜を利用する, 4
valid, [vǽlid], 形容詞, 有効な・妥当な, 4
vague, [véig], 形容詞, 漠然とした, 4
vanish, [vǽniʃ], 動詞, 消える, 4
vehicle, [víːikl], 名詞, 乗り物・手段, 4
venture, [véntʃər], 名詞/動詞, 冒険的事業（思い切って〜する）, 4
version, [və́ːrʒən], 名詞, 版・型, 4
via, [váiə], 前置詞, 〜経由で, 4
virtue, [və́ːrtʃuː], 名詞, 美徳・長所, 4
visible, [vízəbl], 形容詞, 目に見える, 4
vision, [víʒən], 名詞, 視力・先見の明・構想, 4
vital, [váitl], 形容詞, 極めて重要な・生命の, 4
volume, [vάljuːm], 名詞, 音量・分量・（本の）巻, 4
voluntary, [vάləntèri], 形容詞, 自発的な, 4
welfare, [wélfέər], 名詞, 福利・厚生, 4
witness, [wítnis], 名詞/動詞, 目撃者（〜を目撃する）, 4
yield, [jíːld], 動詞/名詞, 〜を産出する・屈する（産出量）, 4
